total,soft,upcard,optimal_actions,stand,hit,value
16,False,4,stand,-0.21106310899491437,-0.4562863658620264,-0.21106310899491437
16,False,5,stand,-0.16719266083547535,-0.44951958147690646,-0.16719266083547535
16,False,6,stand,-0.15369901583000453,-0.43092650272911664,-0.15369901583000453
16,False,7,hit,-0.47537518327693334,-0.4147788310685395,-0.4147788310685395
16,False,8,hit,-0.5105175154976173,-0.45844044164667425,-0.45844044164667425
16,False,9,hit,-0.5431496811311094,-0.5093221394073253,-0.5093221394073253
16,False,10,hit,-0.5404303339949851,-0.5398263462810868,-0.5398263462810868
17,False,1,stand,-0.4780334749947371,-0.5572999244057381,-0.4780334749947371
17,False,2,stand,-0.15297458768154204,-0.5361507939267418,-0.15297458768154204
17,False,3,stand,-0.11721624142457363,-0.5316741953082845,-0.11721624142457363
17,False,4,stand,-0.08057337314531614,-0.5270114910046944,-0.08057337314531614
17,False,5,stand,-0.04494137556492456,-0.5229856295103738,-0.04494137556492456
17,False,6,stand,0.011739160673341858,-0.5087525920116813,0.011739160673341858
17,False,7,stand,-0.10680898948269474,-0.483485831877563,-0.10680898948269474
17,False,8,stand,-0.3819509710484473,-0.5059826746429475,-0.3819509710484473
17,False,9,stand,-0.4231542396452174,-0.5536948902038471,-0.4231542396452174
17,False,10,stand,-0.4197206339288199,-0.5844632205942546,-0.4197206339288199
18,False,1,stand,-0.10019887561319059,-0.6265153955124156,-0.10019887561319059
18,False,2,stand,0.12174190222088768,-0.6224386325591178,0.12174190222088768
18,False,3,stand,0.14830007284131116,-0.6200049701422314,0.14830007284131116
18,False,4,stand,0.17585443719748522,-0.6174618323275779,0.17585443719748522
18,False,5,stand,0.19956119497617703,-0.6152595675854643,0.19956119497617703
18,False,6,stand,0.2834439160468985,-0.607479047092212,0.2834439160468985
18,False,7,stand,0.39955416733655175,-0.5911438447496055,0.39955416733655175
18,False,8,stand,0.10595134861912354,-0.5910558553059571,0.10595134861912354
18,False,9,stand,-0.18316335667343342,-0.6165284781520445,-0.18316335667343342
18,False,10,stand,-0.17830123379648957,-0.6476708179945246,-0.17830123379648957
19,False,1,stand,0.27763572376835594,-0.7247950665715199,0.27763572376835594
19,False,2,stand,0.3863046860205899,-0.7290774545607016,0.3863046860205899
19,False,3,stand,0.40436293659776,-0.7280328883420591,0.40436293659776
19,False,4,stand,0.4231789248274964,-0.7269371342373853,0.4231789248274964
19,False,5,stand,0.43951210416088354,-0.7259912679055323,0.43951210416088354
19,False,6,stand,0.4959770737873191,-0.7225542066143135,0.4959770737873191
19,False,7,stand,0.6159764957534314,-0.7154497290383309,0.6159764957534314
19,False,8,stand,0.5938536682866943,-0.7136599836357027,0.5938536682866943
19,False,9,stand,0.28759675706758137,-0.7155743825418585,0.28759675706758137
19,False,10,stand,0.06311816633584079,-0.729449138481897,0.06311816633584079
20,False,1,stand,0.6554703231499024,-0.8521389375830509,0.6554703231499024
20,False,2,stand,0.6399865752168388,-0.85523026803892,0.6399865752168388
20,False,3,stand,0.6502720942514814,-0.8549768955921732,0.6502720942514814
20,False,4,stand,0.6610499619480716,-0.8547102082333908,0.6610499619480716
20,False,5,stand,0.6703596906327999,-0.8544804748772862,0.6703596906327999
20,False,6,stand,0.7039585701713446,-0.85362794278134,0.7039585701713446
20,False,7,stand,0.7732272265371749,-0.8518518233873443,0.7732272265371749
20,False,8,stand,0.7918151595518983,-0.8514919189858488,0.7918151595518983
20,False,9,stand,0.7583568708085962,-0.8508326033732889,0.7583568708085962
20,False,10,stand,0.5545375664681711,-0.849028951287141,0.5545375664681711
21,False,1,stand,0.9221938114203379,-1.0,0.9221938114203379
21,False,2,stand,0.88200651549404,-1.0,0.88200651549404
21,False,3,stand,0.8853003573017494,-1.0,0.8853003573017494
21,False,4,stand,0.8887672929659194,-1.0,0.8887672929659194
21,False,5,stand,0.8917538265952802,-1.0,0.8917538265952802
21,False,6,stand,0.9028367438425798,-1.0,0.9028367438425798
21,False,7,stand,0.9259262959645234,-1.0,0.9259262959645234
21,False,8,stand,0.9306050531839661,-1.0,0.9306050531839661
21,False,9,stand,0.939176156147244,-1.0,0.939176156147244
21,False,10,stand,0.9626236332671682,-1.0,0.9626236332671682
13,True,1,hit,-0.6669507746855103,-0.05730804666681024,-0.05730804666681024
13,True,2,hit,-0.29278372720927737,0.046636132695309515,0.046636132695309515
13,True,3,hit,-0.25225022923571355,0.07411881339274402,0.07411881339274402
13,True,4,hit,-0.21106310899491437,0.10247714687203516,0.10247714687203516
13,True,5,hit,-0.16719266083547535,0.13336273848321714,0.13336273848321714
13,True,6,hit,-0.15369901583000453,0.16169271124923687,0.16169271124923687
13,True,7,hit,-0.47537518327693334,0.12238569517899191,0.12238569517899191
13,True,8,hit,-0.5105175154976173,0.05405707019631126,0.05405707019631126
13,True,9,hit,-0.5431496811311094,-0.03769468812747994,-0.03769468812747994
13,True,10,hit,-0.5404303339949851,-0.10485135840627786,-0.10485135840627786
14,True,1,hit,-0.6669507746855103,-0.09387432476831009,-0.09387432476831009
14,True,2,hit,-0.29278372720927737,0.022391856987839028,0.022391856987839028
14,True,3,hit,-0.25225022923571355,0.05080673891928277,0.05080673891928277
14,True,4,hit,-0.21106310899491437,0.08008141431011019,0.08008141431011019
14,True,5,hit,-0.16719266083547535,0.11189449567473911,0.11189449567473911
14,True,6,hit,-0.15369901583000453,0.13916473074357677,0.13916473074357677
14,True,7,hit,-0.47537518327693334,0.07950748849446812,0.07950748849446812
14,True,8,hit,-0.5105175154976173,0.013277219463208409,0.013277219463208409
14,True,9,hit,-0.5431496811311094,-0.07516318944168386,-0.07516318944168386
14,True,10,hit,-0.5404303339949851,-0.13946678217545458,-0.13946678217545458
15,True,1,hit,-0.6669507746855103,-0.1300265016784385,-0.1300265016784385
15,True,2,hit,-0.29278372720927737,-0.00012068474052642708,-0.00012068474052642708
15,True,3,hit,-0.25225022923571355,0.029159812622497318,0.029159812622497318
15,True,4,hit,-0.21106310899491437,0.05928537693117987,0.05928537693117987
15,True,5,hit,-0.16719266083547535,0.09195969878115236,0.09195969878115236
15,True,6,hit,-0.15369901583000453,0.11824589170260667,0.11824589170260667
15,True,7,hit,-0.47537518327693334,0.0370282822792692,0.0370282822792692
15,True,8,hit,-0.5105175154976173,-0.02705478050290174,-0.02705478050290174
15,True,9,hit,-0.5431496811311094,-0.11218876868994293,-0.11218876868994293
15,True,10,hit,-0.5404303339949851,-0.17370423031226792,-0.17370423031226792
16,True,1,hit,-0.6669507746855103,-0.16563717206687348,-0.16563717206687348
16,True,2,hit,-0.29278372720927737,-0.021025187774008636,-0.021025187774008636
16,True,3,hit,-0.25225022923571355,0.009059095346910828,0.009059095346910828
16,True,4,hit,-0.21106310899491437,0.03997477079360171,0.03997477079360171
16,True,5,hit,-0.16719266083547535,0.07344881595139324,0.07344881595139324
16,True,6,hit,-0.15369901583000453,0.0988212554502773,0.0988212554502773
16,True,7,hit,-0.47537518327693334,-0.004890157173015932,-0.004890157173015932
16,True,8,hit,-0.5105175154976173,-0.06679484792009416,-0.06679484792009416
16,True,9,hit,-0.5431496811311094,-0.14864353463007476,-0.14864353463007476
16,True,10,hit,-0.5404303339949851,-0.20744109003068212,-0.20744109003068212
17,True,1,hit,-0.4780334749947371,-0.17956936979241733,-0.17956936979241733
17,True,2,hit,-0.15297458768154204,-0.0004910435828891727,-0.0004910435828891727
17,True,3,hit,-0.11721624142457363,0.028975282965620495,0.028975282965620495
17,True,4,hit,-0.08057337314531614,0.05932627533716434,0.05932627533716434
17,True,5,hit,-0.04494137556492456,0.09118907768677428,0.09118907768677428
17,True,6,hit,0.011739160673341858,0.128052143645499,0.128052143645499
17,True,7,hit,-0.10680898948269474,0.0538234637161166,0.0538234637161166
17,True,8,hit,-0.3819509710484473,-0.07291539872964217,-0.07291539872964217
17,True,9,hit,-0.4231542396452174,-0.14978689218213329,-0.14978689218213329
17,True,10,hit,-0.4197206339288199,-0.19686697623363475,-0.19686697623363475
18,True,1,hit,-0.10019887561319059,-0.09293549176928402,-0.09293549176928402
18,True,2,stand,0.12174190222088768,0.0629050694715177,0.12174190222088768
18,True,3,stand,0.14830007284131116,0.09024827856544006,0.14830007284131116
18,True,4,stand,0.17585443719748522,0.1185019238778108,0.17585443719748522
18,True,5,stand,0.19956119497617703,0.14761274781164388,0.19956119497617703
18,True,6,stand,0.2834439160468985,0.19075324103939667,0.2834439160468985
18,True,7,stand,0.39955416733655175,0.17067649990517347,0.39955416733655175
18,True,8,stand,0.10595134861912354,0.03967744427056648,0.10595134861912354
18,True,9,hit,-0.18316335667343342,-0.10074430758041528,-0.10074430758041528
18,True,10,hit,-0.17830123379648957,-0.14380812317405361,-0.14380812317405361
19,True,1,stand,0.27763572376835594,-0.005742891912004059,0.27763572376835594
19,True,2,stand,0.3863046860205899,0.12395801957914128,0.3863046860205899
19,True,3,stand,0.40436293659776,0.1493397086630821,0.40436293659776
19,True,4,stand,0.4231789248274964,0.17557680563858263,0.4231789248274964
19,True,5,stand,0.43951210416088354,0.20298603454657616,0.43951210416088354
19,True,6,stand,0.4959770737873191,0.23979935436410912,0.4959770737873191
19,True,7,stand,0.6159764957534314,0.22062011415522262,0.6159764957534314
19,True,8,stand,0.5938536682866943,0.15227028727077513,0.5938536682866943
19,True,9,stand,0.28759675706758137,0.007892641744434286,0.28759675706758137
19,True,10,stand,0.06311816633584079,-0.08809595391274659,0.06311816633584079
20,True,1,stand,0.6554703231499024,0.08144970794527591,0.6554703231499024
20,True,2,stand,0.6399865752168388,0.18249999400904487,0.6399865752168388
20,True,3,stand,0.6502720942514814,0.20608797581394087,0.6502720942514814
20,True,4,stand,0.6610499619480716,0.23047012189717692,0.6610499619480716
20,True,5,stand,0.6703596906327999,0.25625855450163376,0.6703596906327999
20,True,6,stand,0.7039585701713446,0.28779508429888423,0.7039585701713446
20,True,7,stand,0.7732272265371749,0.2569087443360865,0.7732272265371749
20,True,8,stand,0.7918151595518983,0.19795370833197604,0.7918151595518983
20,True,9,stand,0.7583568708085962,0.11652959106928386,0.7583568708085962
20,True,10,stand,0.5545375664681711,0.0253085230408681,0.5545375664681711
21,True,1,stand,0.9221938114203379,0.14300128216153024,0.9221938114203379
21,True,2,stand,0.88200651549404,0.23835074945762974,0.88200651549404
21,True,3,stand,0.8853003573017494,0.26032526728707966,0.8853003573017494
21,True,4,stand,0.8887672929659194,0.2830202752089879,0.8887672929659194
21,True,5,stand,0.8917538265952802,0.30734950895451385,0.8917538265952802
21,True,6,stand,0.9028367438425798,0.33369004745378467,0.9028367438425798
21,True,7,stand,0.9259262959645234,0.2921469911270131,0.9259262959645234
21,True,8,stand,0.9306050531839661,0.2299821453239917,0.9306050531839661
21,True,9,stand,0.939176156147244,0.1582571184551257,0.939176156147244
21,True,10,stand,0.9626236332671682,0.11948223076371356,0.9626236332671682
