cards,upcard,total,soft,natural,optimal_actions,deal_probability,pre_value,post_value,pre_stand,pre_hit,pre_double,pre_split,post_stand,post_hit,post_double,post_split
"1,8",9,19,True,False,stand,0.0009103322712790169,0.28759675706758137,0.28759675706758137,0.28759675706758137,0.007892641744434286,-0.07294553026892804,,0.28759675706758137,0.007892641744434286,-0.07294553026892804,
"1,8",10,19,True,False,stand,0.0036413290851160674,-0.01866015415153158,0.06311816633584079,-0.01866015415153158,-0.15824241899638147,-0.2942778233308685,,0.06311816633584079,-0.08809595391274659,-0.23546764194177422,
"1,9",1,20,True,False,stand,0.0009103322712790169,0.14609483910377863,0.6554703231499024,0.14609483910377863,-0.25130404834557823,-0.31741394752928503,,0.6554703231499024,0.08144970794527591,-0.01404236865341169,
"1,9",2,20,True,False,stand,0.0009103322712790169,0.6399865752168388,0.6399865752168388,0.6399865752168388,0.18249999400904487,0.3589394124422991,,0.6399865752168388,0.18249999400904487,0.3589394124422991,
"1,9",3,20,True,False,stand,0.0009103322712790169,0.6502720942514814,0.6502720942514814,0.6502720942514814,0.20608797581394087,0.40932067017593915,,0.6502720942514814,0.20608797581394087,0.40932067017593915,
"1,9",4,20,True,False,stand,0.0009103322712790169,0.6610499619480716,0.6610499619480716,0.6610499619480716,0.23047012189717692,0.46094024379435383,,0.6610499619480716,0.23047012189717692,0.46094024379435383,
"1,9",5,20,True,False,stand,0.0009103322712790169,0.6703596906327999,0.6703596906327999,0.6703596906327999,0.25625855450163376,0.5125171090032675,,0.6703596906327999,0.25625855450163376,0.5125171090032675,
"1,9",6,20,True,False,stand,0.0009103322712790169,0.7039585701713446,0.7039585701713446,0.7039585701713446,0.28779508429888423,0.5755901685977685,,0.7039585701713446,0.28779508429888423,0.5755901685977685,
"1,9",7,20,True,False,stand,0.0009103322712790169,0.7732272265371749,0.7732272265371749,0.7732272265371749,0.2569087443360865,0.39241245528243757,,0.7732272265371749,0.2569087443360865,0.39241245528243757,
"1,9",8,20,True,False,stand,0.0009103322712790169,0.7918151595518983,0.7918151595518983,0.7918151595518983,0.19795370833197604,0.2866357168862836,,0.7918151595518983,0.19795370833197604,0.2866357168862836,
"1,9",9,20,True,False,stand,0.0009103322712790169,0.7583568708085962,0.7583568708085962,0.7583568708085962,0.11652959106928386,0.1443283683807711,,0.7583568708085962,0.11652959106928386,0.1443283683807711,
"1,9",10,20,True,False,stand,0.0036413290851160674,0.4349577536629272,0.5545375664681711,0.4349577536629272,-0.05356136334689098,-0.08491571203188754,,0.5545375664681711,0.0253085230408681,-0.008658688034544837,
"1,10",1,21,True,True,natural,0.0036413290851160674,1.0384615384615385,1.5,,,,,,,,
"1,10",2,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",3,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",4,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",5,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",6,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",7,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",8,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",9,21,True,True,natural,0.0036413290851160674,1.5,1.5,,,,,,,,
"1,10",10,21,True,True,natural,0.01456531634046427,1.3846153846153846,1.5,,,,,,,,
"2,2",1,4,False,False,hit,0.0004551661356395084,-0.48289945766424447,-0.2530769944039087,-0.769427459397661,-0.48289945766424447,-1.2311626111030143,-0.5892589458984683,-0.6669507746855103,-0.2530769944039087,-1.3339015493710207,-0.4067073662977875
"2,2",2,4,False,False,split,0.0004551661356395084,-0.08888724089711467,-0.08888724089711467,-0.29278372720927737,-0.1149133276189214,-0.5855674544185547,-0.08888724089711467,-0.29278372720927737,-0.1149133276189214,-0.5855674544185547,-0.08888724089711467
"2,2",3,4,False,False,split,0.0004551661356395084,-0.025616130479246425,-0.025616130479246425,-0.25225022923571355,-0.0826133142997444,-0.5045004584714271,-0.025616130479246425,-0.25225022923571355,-0.0826133142997444,-0.5045004584714271,-0.025616130479246425
"2,2",4,4,False,False,split,0.0004551661356395084,0.04294662956876883,0.04294662956876883,-0.21106310899491437,-0.049367420106916936,-0.42212621798982874,0.04294662956876883,-0.21106310899491437,-0.049367420106916936,-0.42212621798982874,0.04294662956876883
"2,2",5,4,False,False,split,0.0004551661356395084,0.12724982334843862,0.12724982334843862,-0.16719266083547535,-0.012379926519926506,-0.3343853216709507,0.12724982334843862,-0.16719266083547535,-0.012379926519926506,-0.3343853216709507,0.12724982334843862
"2,2",6,4,False,False,split,0.0004551661356395084,0.19477859816579243,0.19477859816579243,-0.15369901583000453,0.011130417280979762,-0.30739803166000906,0.19477859816579243,-0.15369901583000453,0.011130417280979762,-0.30739803166000906,0.19477859816579243
"2,2",7,4,False,False,split,0.0004551661356395084,-0.007399324492704782,-0.007399324492704782,-0.47537518327693334,-0.08827920105846375,-0.9507503665538667,-0.007399324492704782,-0.47537518327693334,-0.08827920105846375,-0.9507503665538667,-0.007399324492704782
"2,2",8,4,False,False,hit,0.0004551661356395084,-0.15933415266020517,-0.15933415266020517,-0.5105175154976173,-0.15933415266020517,-1.0210350309952345,-0.17410923184246518,-0.5105175154976173,-0.15933415266020517,-1.0210350309952345,-0.17410923184246518
"2,2",9,4,False,False,hit,0.0004551661356395084,-0.24066617915336547,-0.24066617915336547,-0.5431496811311094,-0.24066617915336547,-1.0862993622622188,-0.36512119656719894,-0.5431496811311094,-0.24066617915336547,-1.0862993622622188,-0.36512119656719894
"2,2",10,4,False,False,hit,0.0018206645425580337,-0.3438749979867771,-0.2891979144856752,-0.5757818467646016,-0.3438749979867771,-1.0746406166061264,-0.5151386415718676,-0.5404303339949851,-0.2891979144856752,-1.0808606679899702,-0.47473352836952326
"2,3",1,5,False,False,hit,0.0009103322712790169,-0.5005516444589521,-0.2785745975518197,-0.769427459397661,-0.5005516444589521,-1.2311626111030143,,-0.6669507746855103,-0.2785745975518197,-1.3339015493710207,
"2,3",2,5,False,False,hit,0.0009103322712790169,-0.1282155670637475,-0.1282155670637475,-0.29278372720927737,-0.1282155670637475,-0.5855674544185547,,-0.29278372720927737,-0.1282155670637475,-0.5855674544185547,
"2,3",3,5,False,False,hit,0.0009103322712790169,-0.09531022726148991,-0.09531022726148991,-0.25225022923571355,-0.09531022726148991,-0.5045004584714271,,-0.25225022923571355,-0.09531022726148991,-0.5045004584714271,
"2,3",4,5,False,False,hit,0.0009103322712790169,-0.06147946419969426,-0.06147946419969426,-0.21106310899491437,-0.06147946419969426,-0.42212621798982874,,-0.21106310899491437,-0.06147946419969426,-0.42212621798982874,
"2,3",5,5,False,False,hit,0.0009103322712790169,-0.02397897039185975,-0.02397897039185975,-0.16719266083547535,-0.02397897039185975,-0.3343853216709507,,-0.16719266083547535,-0.02397897039185975,-0.3343853216709507,
"2,3",6,5,False,False,hit,0.0009103322712790169,-0.0011863378384402046,-0.0011863378384402046,-0.15369901583000453,-0.0011863378384402046,-0.30739803166000906,,-0.15369901583000453,-0.0011863378384402046,-0.30739803166000906,
"2,3",7,5,False,False,hit,0.0009103322712790169,-0.11944744188414855,-0.11944744188414855,-0.47537518327693334,-0.11944744188414855,-0.9507503665538667,,-0.47537518327693334,-0.11944744188414855,-0.9507503665538667,
"2,3",8,5,False,False,hit,0.0009103322712790169,-0.18809330390318527,-0.18809330390318527,-0.5105175154976173,-0.18809330390318527,-1.0210350309952345,,-0.5105175154976173,-0.18809330390318527,-1.0210350309952345,
"2,3",9,5,False,False,hit,0.0009103322712790169,-0.26661505335795904,-0.26661505335795904,-0.5431496811311094,-0.26661505335795904,-1.0862993622622188,,-0.5431496811311094,-0.26661505335795904,-1.0862993622622188,
"2,3",10,5,False,False,hit,0.0036413290851160674,-0.36622613233689644,-0.3134116433649711,-0.5757818467646016,-0.36622613233689644,-1.0746406166061264,,-0.5404303339949851,-0.3134116433649711,-1.0808606679899702,
"2,4",1,6,False,False,hit,0.0009103322712790169,-0.5182553599062534,-0.30414663097569933,-0.769427459397661,-0.5182553599062534,-1.2110412419051806,,-0.6669507746855103,-0.30414663097569933,-1.304837349418594,
"2,4",2,6,False,False,hit,0.0009103322712790169,-0.14075911746001993,-0.14075911746001993,-0.29278372720927737,-0.14075911746001993,-0.5640583560296724,,-0.29278372720927737,-0.14075911746001993,-0.5640583560296724,
"2,4",3,6,False,False,hit,0.0009103322712790169,-0.1072910780086084,-0.1072910780086084,-0.25225022923571355,-0.1072910780086084,-0.48372599880817485,,-0.25225022923571355,-0.1072910780086084,-0.48372599880817485,
"2,4",4,6,False,False,hit,0.0009103322712790169,-0.07291714192638732,-0.07291714192638732,-0.21106310899491437,-0.07291714192638732,-0.40205087401296746,,-0.21106310899491437,-0.07291714192638732,-0.40205087401296746,
