split_card,drawn_card,upcard,optimal_actions,stand,hit,double,value
3,3,6,hit,-0.15369901583000453,-0.013005835529874334,-0.28194600450564805,-0.013005835529874334
3,3,7,hit,-0.47537518327693334,-0.1519327072366995,-0.894047875200907,-0.1519327072366995
3,3,8,hit,-0.5105175154976173,-0.2172418813207848,-1.0012555626184392,-0.2172418813207848
3,3,9,hit,-0.5431496811311094,-0.29264070019772603,-1.0678385251105431,-0.29264070019772603
3,3,10,hit,-0.5404303339949851,-0.33774944037840815,-1.0622899449028678,-0.33774944037840815
3,4,1,hit,-0.6669507746855103,-0.310071650331637,-1.130452149704034,-0.310071650331637
3,4,2,hit,-0.29278372720927737,-0.10918342786661638,-0.43575788710453833,-0.10918342786661638
3,4,3,hit,-0.25225022923571355,-0.07658298190446361,-0.3597794964219526,-0.07658298190446361
3,4,4,hit,-0.21106310899491437,-0.04302179400434189,-0.2822990657450914,-0.04302179400434189
3,4,5,hit,-0.16719266083547535,-0.007271360902941012,-0.2027300913795883,-0.007271360902941012
3,4,6,hit,-0.15369901583000453,0.029185342353860846,-0.13833716429227233,0.029185342353860846
3,4,7,hit,-0.47537518327693334,-0.06880779958042782,-0.5893358856630299,-0.06880779958042782
3,4,8,hit,-0.5105175154976173,-0.21060476872434974,-0.8470757937777852,-0.21060476872434974
3,4,9,hit,-0.5431496811311094,-0.2853654404868766,-0.957073502200489,-0.2853654404868766
3,4,10,hit,-0.5404303339949851,-0.31905479139833853,-0.9508656063802539,-0.31905479139833853
3,5,1,hit,-0.6669507746855103,-0.19702881057416358,-0.810745950227341,-0.19702881057416358
3,5,2,hit,-0.29278372720927737,-0.02179818800880571,-0.20449052049882196,-0.02179818800880571
3,5,3,hit,-0.25225022923571355,0.008005262530654663,-0.13621609509408678,0.008005262530654663
3,5,4,hit,-0.21106310899491437,0.03878447327720879,-0.06637207115265836,0.03878447327720879
3,5,5,hit,-0.16719266083547535,0.07080463598303369,0.003456443484975325,0.07080463598303369
3,5,6,hit,-0.15369901583000453,0.11496015009622318,0.08701519812895744,0.11496015009622318
3,5,7,hit,-0.47537518327693334,0.08220743936374282,-0.1877295549725523,0.08220743936374282
3,5,8,hit,-0.5105175154976173,-0.05989827565865634,-0.4519868487336276,-0.05989827565865634
3,5,9,hit,-0.5431496811311094,-0.21018633199821765,-0.7185013349521747,-0.21018633199821765
3,5,10,hit,-0.5404303339949851,-0.24937508055334265,-0.7465876524221282,-0.24937508055334265
3,6,1,hit,-0.6669507746855103,-0.06568077877806619,-0.4329113508457944,-0.06568077877806619
3,6,2,hit,-0.29278372720927737,0.0744460375763405,0.061118503166596935,0.0744460375763405
3,6,3,double,-0.25225022923571355,0.10126470173887674,0.12081635332999653,0.12081635332999653
3,6,4,double,-0.21106310899491437,0.12898088119574175,0.1819489340524216,0.1819489340524216
3,6,5,double,-0.16719266083547535,0.1580318562665172,0.24305722487303605,0.24305722487303605
3,6,6,double,-0.15369901583000453,0.19601883925727873,0.3170547457016668,0.3170547457016668
3,6,7,hit,-0.47537518327693334,0.1718678599369526,0.10425035196048571,0.1718678599369526
3,6,8,hit,-0.5105175154976173,0.09837621743539247,-0.02644228964866949,0.09837621743539247
3,6,9,hit,-0.5431496811311094,-0.052178053462651745,-0.3009956590809824,-0.052178053462651745
3,6,10,hit,-0.5404303339949851,-0.1529529848745508,-0.46670671382825935,-0.1529529848745508
3,7,1,hit,-0.6669507746855103,0.08144970794527591,-0.01404236865341169,0.08144970794527591
3,7,2,double,-0.29278372720927737,0.18249999400904487,0.3589394124422991,0.3589394124422991
